,STAD,lat,lng,alt
0,Georgia Dome,33.7576897,-84.40082850000002,303.1637268066406
1,Cleveland Browns Stadium,41.50648260000001,-81.70004019999999,183.6383056640625
2,Texas Stadium,32.841068,-96.910899,133.4713287353516
3,Lambeau Field,44.5013567,-88.0607546,190.2767791748047
4,Arrowhead Stadium,39.04893910000001,-94.4839157,256.7704772949219
5,Pro Player Stadium,25.9577512,-80.2398422,2.656402111053467
6,Metrodome,10.6603101,122.9420499,7.405479907989502
7,Foxboro Stadium,42.09703620000001,-71.2648076,74.27957916259766
8,Louisiana Superdome,29.95252099999999,-90.080671,0.000624320178758353
9,Giants Stadium,40.811763,-74.06750699999999,3.132093191146851
10,Network Associates Coliseum,,,13.11
11,Three Rivers Stadium,41.1354699,-80.704869,325.4639892578125
12,FedExField,38.907699,-76.866338,65.98821258544922
13,Ralph Wilson Stadium,42.7736976,-78.78694809999999,231.9112854003906
14,Trans World Dome,,,142.03
15,PSINet Stadium,,,3.05
16,Paul Brown Stadium,39.0961611,-84.5165513,153.8473510742188
17,Mile High Stadium,39.7475859,-105.0188289,1583.44140625
18,Pontiac Sliverdome,42.6450713,-83.2548666,274.9317016601562
19,RCA Dome,,,216.34
20,Veterans Stadium,39.9064608,-75.1712251,5.466001510620117
21,Qualcomm Stadium,32.7839936,-117.1199698,25.11866569519043
22,3COM Park,37.7127483,-122.3812047,2.886189699172974
23,Husky Stadium,45.5478014,-94.1505605,299.8679504394531
24,Raymond James Stadium,27.9760337,-82.5041497,10.76916217803955
25,Adelphia Coliseum,36.166479,-86.77128979999999,121.0189895629883
26,Sun Devil Stadium,33.4257157,-111.9328395,363.5463562011719
27,The Meadowlands,47.0718839,-92.7324165,388.9679565429688
28,Ericsson Stadium,24.8708081,67.07945819999999,13.52090454101562
29,Soldier Field,41.8623385,-87.61585459999999,180.3719482421875
30,Alltel Stadium,30.3231043,-81.63954679999999,1.772095799446106
31,Pontiac Silverdome,42.6450713,-83.2548666,274.9317016601562
32,Ravens Stadium,42.5247128,-83.159205,203.15380859375
33,Invesco Field at Mile High,39.743342,-105.012761,1581.827270507812
34,Edward Jones Dome,38.632804,-90.188418,142.0252685546875
35,Heinz Field,40.446083,-80.0153366,222.5828094482422
36,Memorial Stadium,39.4746858,-87.3669599,155.5213165283203
37,Reliant Stadium,29.6847219,-95.41070739999999,15.18437957763672
38,Gillette Stadium,42.0909458,-71.2643465,78.00233459472656
39,Seahawks Stadium,,,5.31
40,Ford Field,42.3400064,-83.045603,183.9298248291016
41,Lincoln Financial Field,39.900732,-75.167534,5.866746425628662
42,M & T Bank Stadium,30.8117653,75.16374499999999,224.0157470703125
43,Bank of America Stadium,35.2256295,-80.85274009999999,220.8777465820312
44,Qwest Field,,,5.31
45,Monster Park,34.0161885,-84.55573799999999,288.3052368164062
46,Dolphins Stadium,25.9577512,-80.2398422,2.656402111053467
47,McAfee Coliseum,,,10.74
48,Azteca Stadium,,,2268.13
49,LP Field,36.166479,-86.77128979999999,121.0189895629883
50,Cardinals Stadium,33.5279331,-112.2626184,325.7296142578125
51,University of Phoenix Stadium,33.5279331,-112.2626184,325.7296142578125
52,Jacksonville Municipal Stadium,30.3231043,-81.63954679999999,1.772095799446106
53,Wembley Stadium,51.5566101,-0.2794808,50.97333526611328
54,Candlestick Park,37.7136976,-122.3855225,7.140985012054443
55,Lucas Oil Stadium,39.7601007,-86.16388769999999,216.3438110351562
56,Oakland-Alameda County Coliseum,37.7567466,-122.1930517,3.862517833709717
57,Rogers Centre,43.6411119,-79.38966959999999,81.88623809814453
58,Cowboys Stadium,30.173466,-93.2102805,1.096032023429871
59,Land Shark Stadium,25.9577512,-80.2398422,2.656402111053467
60,Mall of America Field at HHH Metrodome,,,253.42
61,Sun Life Stadium,25.9577512,-80.2398422,2.656402111053467
62,New Meadowlands Stadium,,,0.86
63,EverBank Field,30.3231043,-81.63954679999999,1.772095799446106
64,TCF Bank Stadium,44.9767137,-93.2243312,251.4467010498047
65,MetLife Stadium,40.8127067,-74.074199,2.124734401702881
66,Sports Authority Field at Mile High,39.7439483,-105.0200845,1583.55078125
67,CenturyLink Field,47.5957829,-122.3316256,5.312399864196777
68,Mercedes-Benz Superdome,,,0.0006
69,Snapdragon Stadium,,,22.89
70,Metlife Stadium,40.8127067,-74.074199,2.124734401702881
